rank,anime,voice_actor
268,Ashita no Joe,"Nakamura, Shuusei"
268,Ashita no Joe,"Fujioka, Juukei"
268,Ashita no Joe,"Aoi, Teruhiko"
267,86,"Hasegawa, Ikumi"
267,86,"Chiba, Shouya"
267,86,"Tomari, Asuna"
259,Tensei shitara Slime Datta Ken 2nd Season Part 2,"Okasaki, Miho"
264,NHK ni Youkoso!,"Makino, Yui"
264,NHK ni Youkoso!,"Koizumi, Yutaka"
264,NHK ni Youkoso!,"Sakaguchi, Daisuke"
269,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Miyano, Mamoru"
269,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Dismuke, Aaron"
269,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Suzumura, Kenichi"
278,Kingdom 2nd Season,"Kugimiya, Rie"
278,Kingdom 2nd Season,"Hikasa, Youko"
278,Kingdom 2nd Season,"Nojima, Hirofumi"
278,Kingdom 2nd Season,"Hosoya, Yoshimasa"
278,Kingdom 2nd Season,"Morita, Masakazu"
278,Kingdom 2nd Season,"Fukuyama, Jun"
278,Kingdom 2nd Season,"Kanada, Aki"
277,Kemono no Souja Erin,"Hoshii, Nanase"
281,Ookami to Koushinryou II,"Koshimizu, Ami"
281,Ookami to Koushinryou II,"Fukuyama, Jun"
279,Luo Xiao Hei Zhan Ji (Movie),"Sakurai, Takahiro"
279,Luo Xiao Hei Zhan Ji (Movie),"Hanazawa, Kana"
279,Luo Xiao Hei Zhan Ji (Movie),"Miyano, Mamoru"
280,Natsume Yuujinchou,"Inoue, Kazuhiko"
280,Natsume Yuujinchou,"Kobayashi, Sanae"
280,Natsume Yuujinchou,"Kamiya, Hiroshi"
280,Natsume Yuujinchou,"Fujimura, Ayumi"
273,Diamond no Ace: Second Season,"Shimazaki, Nobunaga"
273,Diamond no Ace: Second Season,"Hanae, Natsuki"
273,Diamond no Ace: Second Season,"Sakurai, Takahiro"
273,Diamond no Ace: Second Season,"Oosaka, Ryouta"
274,Evangelion Movie 2: Ha,"Hayashibara, Megumi"
274,Evangelion Movie 2: Ha,"Ogata, Megumi"
274,Evangelion Movie 2: Ha,"Mitsuishi, Kotono"
276,Katanagatari,"Tamura, Yukari"
276,Katanagatari,"Hosoya, Yoshimasa"
276,Katanagatari,"Kumai, Motoko"
272,Boku dake ga Inai Machi,"Mitsushima, Shinnosuke"
272,Boku dake ga Inai Machi,"Tsuchiya, Tao"
272,Boku dake ga Inai Machi,"Yuuki, Aoi"
275,Given,"Eguchi, Takuya"
275,Given,"Nakazawa, Masatomo"
275,Given,"Yano, Shougo"
275,Given,"Shouji, Umeka"
275,Given,"Uchida, Yuuma"
282,Kuroko no Basket 3rd Season,"Ono, Yuuki"
282,Kuroko no Basket 3rd Season,"Ono, Kensho"
290,Initial D Final Stage,"Miki, Shinichiro"
290,Initial D Final Stage,"Abe, Atsushi"
290,Initial D Final Stage,"Koyasu, Takehito"
290,Initial D Final Stage,"Seki, Tomokazu"
284,Sakamichi no Apollon,"Hosoya, Yoshimasa"
284,Sakamichi no Apollon,"Nanri, Yuuka"
284,Sakamichi no Apollon,"Kimura, Ryouhei"
284,Sakamichi no Apollon,"Furuki, Nozomi"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Takayama, Minami"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Yamaguchi, Kappei"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Hayashibara, Megumi"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Takagi, Wataru"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Yamazaki, Wakana"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Orikasa, Ai"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Ootani, Ikue"
283,Meitantei Conan Movie 06: Baker Street no Bourei,"Iwai, Yukiko"
289,Beck,"Oohata, Shintarou"
289,Beck,"Ueno, Yuuma"
289,Beck,"Saiki, Miho"
289,Beck,"Nara, Tooru"
289,Beck,"Nojima, Kenji"
289,Beck,"Namikawa, Daisuke"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Tomatsu, Haruka"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Kondou, Takayuki"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Toyosaki, Aki"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Kayano, Ai"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Sakurai, Takahiro"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Seto, Asami"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Hayami, Saori"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Irino, Miyu"
288,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Tamura, Mutsumi"
295,Redline,"Kimura, Takuya"
295,Redline,"Aoi, Yuu"
291,Doukyuusei,"Kamiya, Hiroshi"
291,Doukyuusei,"Nojima, Kenji"
298,Tokyo Godfathers,"Emori, Toru"
298,Tokyo Godfathers,"Umegaki, Yoshiaki"
298,Tokyo Godfathers,"Okamoto, Aya"
293,Kino no Tabi: The Beautiful World,"Aigase, Ryuji"
293,Kino no Tabi: The Beautiful World,"Maeda, Ai"
297,Suzume no Tojimari,"Hara, Nanoka"
297,Suzume no Tojimari,"Matsumura, Hokuto"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Suzukaze, Mayo"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Suzuki, Masami"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Fujitani, Miki"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Tominaga, Miina"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Ueda, Yuuji"
296,Rurouni Kenshin: Meiji Kenkaku Romantan,"Fuchizaki, Yuriko"
299,Yuukoku no Moriarty Part 2,"Hikasa, Youko"
299,Yuukoku no Moriarty Part 2,"Furukawa, Makoto"
299,Yuukoku no Moriarty Part 2,"Satou, Takuya"
299,Yuukoku no Moriarty Part 2,"Saitou, Souma"
299,Yuukoku no Moriarty Part 2,"Ishigami, Shizuka"
299,Yuukoku no Moriarty Part 2,"Kobayashi, Chiaki"
299,Yuukoku no Moriarty Part 2,"Touyama, Nao"
313,Ore dake Level Up na Ken,"Ban, Taito"
308,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"Umehara, Yuuichirou"
308,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"Miyano, Mamoru"
308,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"Dismuke, Aaron"
308,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,"Suzumura, Kenichi"
303,Diamond no Ace: Act II,"Shimazaki, Nobunaga"
303,Diamond no Ace: Act II,"Sakurai, Takahiro"
303,Diamond no Ace: Act II,"Oosaka, Ryouta"
307,Gin no Saji 2nd Season,"Kimura, Ryouhei"
307,Gin no Saji 2nd Season,"Miyake, Marie"
302,Yuru Camp△,"Toyosaki, Aki"
302,Yuru Camp△,"Hanamori, Yumiri"
302,Yuru Camp△,"Hara, Sayuri"
302,Yuru Camp△,"Pozatto, Mariana"
302,Yuru Camp△,"Takahashi, Rie"
302,Yuru Camp△,"Touyama, Nao"
300,Shirobako,"Oowada, Hitomi"
300,Shirobako,"Kimura, Juri"
300,Shirobako,"Chisuga, Haruka"
300,Shirobako,"Takano, Asami"
300,Shirobako,"Yoshimura, Haruka"
310,Kage no Jitsuryokusha ni Naritakute!,"Yamashita, Seiichirou"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Mizuta, Wasabi"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Kimura, Subaru"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Seki, Tomokazu"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Kakazu, Yumi"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Oohara, Megumi"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Kobayashi, Yumiko"
304,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Sawashiro, Miyuki"
305,Dr. Stone,"Kawanishi, Kengo"
305,Dr. Stone,"Satou, Gen"
305,Dr. Stone,"Tomari, Asuna"
305,Dr. Stone,"Kobayashi, Yuusuke"
305,Dr. Stone,"Komatsu, Mikako"
305,Dr. Stone,"Numakura, Manami"
305,Dr. Stone,"Furukawa, Makoto"
305,Dr. Stone,"Tamura, Mutsumi"
306,Fate/Zero,"Koyama, Rikiya"
306,Fate/Zero,"Irino, Miyu"
306,Fate/Zero,"Seki, Tomokazu"
306,Fate/Zero,"Nakata, Jouji"
306,Fate/Zero,"Kawasumi, Ayako"
306,Fate/Zero,"Ohara, Sayaka"
311,Koukaku Kidoutai,"Ootsuka, Akio"
311,Koukaku Kidoutai,"Tanaka, Atsuko"
311,Koukaku Kidoutai,"Sakamoto, Maaya"
311,Koukaku Kidoutai,"Kayumi, Iemasa"
311,Koukaku Kidoutai,"Yamadera, Kouichi"
312,Naruto: Shippuuden,"Nakamura, Chie"
312,Naruto: Shippuuden,"Inoue, Kazuhiko"
312,Naruto: Shippuuden,"Tamura, Mutsumi"
312,Naruto: Shippuuden,"Suzumura, Kenichi"
312,Naruto: Shippuuden,"Sugiyama, Noriaki"
312,Naruto: Shippuuden,"Touyama, Nao"
312,Naruto: Shippuuden,"Takeuchi, Junko"
312,Naruto: Shippuuden,"Kogure, Ema"
309,Hotarubi no Mori e,"Uchiyama, Kouki"
309,Hotarubi no Mori e,"Sakura, Ayane"
301,Tenki no Ko,"Mori, Nana"
301,Tenki no Ko,"Daigo, Kotarou"
315,Space☆Dandy 2nd Season,"Suwabe, Junichi"
315,Space☆Dandy 2nd Season,"Yoshino, Hiroyuki"
315,Space☆Dandy 2nd Season,"Satake, Uki"
314,Nodame Cantabile,"Seki, Tomokazu"
314,Nodame Cantabile,"Sawashiro, Miyuki"
314,Nodame Cantabile,"Kawasumi, Ayako"
320,Gyakkyou Burai Kaiji: Ultimate Survivor,"Hagiwara, Masato"
318,Tenkuu no Shiro Laputa,"Tanaka, Mayumi"
318,Tenkuu no Shiro Laputa,"Yokozawa, Keiko"
317,Tanoshii Muumin Ikka,"Kanai, Mika"
317,Tanoshii Muumin Ikka,"Barry, Toni"
317,Tanoshii Muumin Ikka,"Sakuma, Rei"
317,Tanoshii Muumin Ikka,"Tani, Ikuko"
317,Tanoshii Muumin Ikka,"Ootsuka, Akio"
317,Tanoshii Muumin Ikka,"Takayama, Minami"
317,Tanoshii Muumin Ikka,"Nakao, Ryusei"
317,Tanoshii Muumin Ikka,"Koyasu, Takehito"
323,Chi. Chikyuu no Undou ni Tsuite,"Nakamura, Yuuichi"
323,Chi. Chikyuu no Undou ni Tsuite,"Hitomi, Saya"
323,Chi. Chikyuu no Undou ni Tsuite,"Tsuda, Kenjirou"
323,Chi. Chikyuu no Undou ni Tsuite,"Konishi, Katsuyuki"
323,Chi. Chikyuu no Undou ni Tsuite,"Sakamoto, Maaya"
324,Dororo,"Suzuki, Rio"
324,Dororo,"Suzuki, Hiroki"
329,Shinsekai yori,"Hanazawa, Kana"
329,Shinsekai yori,"Toudou, Mai"
329,Shinsekai yori,"Murase, Ayumu"
329,Shinsekai yori,"Kaji, Yuuki"
329,Shinsekai yori,"Tojo, Kanako"
329,Shinsekai yori,"Kudou, Haruka"
329,Shinsekai yori,"Takagi, Motoki"
329,Shinsekai yori,"Endou, Aya"
329,Shinsekai yori,"Taneda, Risa"
330,Stranger: Mukou Hadan,"Chinen, Yuuri"
330,Stranger: Mukou Hadan,"Yamadera, Kouichi"
330,Stranger: Mukou Hadan,"Nagase, Tomoya"
332,World Trigger 3rd Season,"Tamura, Nao"
332,World Trigger 3rd Season,"Shimazaki, Nobunaga"
332,World Trigger 3rd Season,"Nakamura, Yuuichi"
332,World Trigger 3rd Season,"Muranaka, Tomo"
332,World Trigger 3rd Season,"Kaji, Yuuki"
326,Kono Subarashii Sekai ni Shukufuku wo! 2,"Amamiya, Sora"
326,Kono Subarashii Sekai ni Shukufuku wo! 2,"Kayano, Ai"
326,Kono Subarashii Sekai ni Shukufuku wo! 2,"Takahashi, Rie"
326,Kono Subarashii Sekai ni Shukufuku wo! 2,"Fukushima, Jun"
331,Tonari no Totoro,"Hidaka, Noriko"
331,Tonari no Totoro,"Sakamoto, Chika"
331,Tonari no Totoro,"Takagi, Hitoshi"
322,Boku no Hero Academia 6th Season,"Yamashita, Daiki"
327,Kuroshitsuji Movie: Book of the Atlantic,"Ono, Daisuke"
327,Kuroshitsuji Movie: Book of the Atlantic,"Sakamoto, Maaya"
328,Planetes,"Tanaka, Kazunari"
328,Planetes,"Yukino, Satsuki"
336,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,"Matsuoka, Yoshitsugu"
336,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,"Hayami, Saori"
334,Boku no Kokoro no Yabai Yatsu,"Horie, Shun"
334,Boku no Kokoro no Yabai Yatsu,"Youmiya, Hina"
337,Golden Kamuy 2nd Season,"Shiraishi, Haruka"
337,Golden Kamuy 2nd Season,"Itou, Kentarou"
337,Golden Kamuy 2nd Season,"Kobayashi, Chikahiro"
339,Haikyuu!! Movie 4: Concept no Tatakai,"Murase, Ayumu"
339,Haikyuu!! Movie 4: Concept no Tatakai,"Ishikawa, Kaito"
338,Gyakkyou Burai Kaiji: Hakairoku-hen,"Hagiwara, Masato"
343,Non Non Biyori Movie: Vacation,"Murakawa, Rie"
343,Non Non Biyori Movie: Vacation,"Asumi, Kana"
343,Non Non Biyori Movie: Vacation,"Sakura, Ayane"
343,Non Non Biyori Movie: Vacation,"Koiwai, Kotori"
333,Sennen Joyuu,"Orikasa, Fumiko"
333,Sennen Joyuu,"Koyama, Mami"
333,Sennen Joyuu,"Shouji, Miyoko"
333,Sennen Joyuu,"Onosaka, Masaya"
333,Sennen Joyuu,"Iizuka, Shouzou"
341,Kobayashi-san Chi no Maid Dragon S,"Naganawa, Maria"
341,Kobayashi-san Chi no Maid Dragon S,"Tamura, Mutsumi"
341,Kobayashi-san Chi no Maid Dragon S,"Kuwahara, Yuuki"
347,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Uchiyama, Yumi"
347,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Sugita, Tomokazu"
347,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Kayano, Ai"
350,Youjo Senki Movie,"Yuuki, Aoi"
350,Youjo Senki Movie,"Hayami, Saori"
351,Bakemono no Ko,"Hirose, Suzu"
351,Bakemono no Ko,"Yakusho, Kouji"
351,Bakemono no Ko,"Miyazaki, Aoi"
351,Bakemono no Ko,"Sometani, Shouta"
344,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,"Kawanishi, Kengo"
344,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,"Hosoya, Yoshimasa"
353,Danshi Koukousei no Nichijou,"Sugita, Tomokazu"
353,Danshi Koukousei no Nichijou,"Sanpei, Yuuko"
353,Danshi Koukousei no Nichijou,"Irino, Miyu"
353,Danshi Koukousei no Nichijou,"Suzumura, Kenichi"
353,Danshi Koukousei no Nichijou,"Park, Romi"
349,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Ishikawa, Kaito"
349,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Seto, Asami"
345,Majo no Takkyuubin,"Takayama, Minami"
349,Spy x Family Part 2,"Hayami, Saori"
349,Spy x Family Part 2,"Eguchi, Takuya"
349,Spy x Family Part 2,"Tanezaki, Atsumi"
353,IDOLiSH7 Third Beat!,"Masuda, Toshiki"
353,IDOLiSH7 Third Beat!,"Yonaga, Tsubasa"
353,IDOLiSH7 Third Beat!,"Ono, Kensho"
353,IDOLiSH7 Third Beat!,"Shirai, Yuusuke"
353,IDOLiSH7 Third Beat!,"Abe, Atsushi"
353,IDOLiSH7 Third Beat!,"Eguchi, Takuya"
353,IDOLiSH7 Third Beat!,KENN
347,Re:Zero kara Hajimeru Isekai Seikatsu,"Takahashi, Rie"
347,Re:Zero kara Hajimeru Isekai Seikatsu,"Kobayashi, Yuusuke"
365,Yubisaki to Renren,"Morohoshi, Sumire"
365,Yubisaki to Renren,"Miyazaki, Yuu"
365,Yubisaki to Renren,"Hondo, Kaede"
356,Bocchi the Rock! Movie,"Aoyama, Yoshino"
356,Bocchi the Rock! Movie,"Suzushiro, Sayumi"
356,Bocchi the Rock! Movie,"Hasegawa, Ikumi"
356,Bocchi the Rock! Movie,"Mizuno, Saku"
357,Kono Sekai no Katasumi ni,"Hosoya, Yoshimasa"
357,Kono Sekai no Katasumi ni,"Nounen, Rena"
356,Kamisama Hajimemashita◎,"Mimori, Suzuko"
356,Kamisama Hajimemashita◎,"Tachibana, Shinnosuke"
360,Nodame Cantabile Finale,"Seki, Tomokazu"
360,Nodame Cantabile Finale,"Horiuchi, Kenyuu"
360,Nodame Cantabile Finale,"Kawasumi, Ayako"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Saitou, Chiwa"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Yuuki, Aoi"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Katou, Emiri"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Kitamura, Eri"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Nonaka, Ai"
358,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,"Mizuhashi, Kaori"
354,Blue Lock,"Kaito, Tasuku"
354,Blue Lock,"Okasaki, Miho"
354,Blue Lock,"Saitou, Souma"
354,Blue Lock,"Ura, Kazuki"
354,Blue Lock,"Yukimura, Eri"
354,Blue Lock,"Ono, Yuuki"
359,Mimi wo Sumaseba,"Takahashi, Issei"
359,Mimi wo Sumaseba,"Honna, Youko"
361,Shoujo Kakumei Utena,"Fuchizaki, Yuriko"
361,Shoujo Kakumei Utena,"Kawakami, Tomoko"
363,Trigun,"Tsuru, Hiromi"
363,Trigun,"Yukino, Satsuki"
363,Trigun,"Onosaka, Masaya"
363,Trigun,"Miyata, Kouki"
363,Trigun,"Hayami, Show"
362,Shoujo Shuumatsu Ryokou,"Minase, Inori"
362,Shoujo Shuumatsu Ryokou,"Kubo, Yurika"
369,BanG Dream! It's MyGO!!!!!,"Tateishi, Rin"
369,BanG Dream! It's MyGO!!!!!,"Aoki, Hina"
369,BanG Dream! It's MyGO!!!!!,"Kohinata, Mika"
369,BanG Dream! It's MyGO!!!!!,"Hayashi, Koko"
369,BanG Dream! It's MyGO!!!!!,"Youmiya, Hina"
368,Tengoku Daimakyou,"Senbongi, Sayaka"
368,Tengoku Daimakyou,"Satou, Gen"
374,Liz to Aoi Tori,"Touyama, Nao"
374,Liz to Aoi Tori,"Tanezaki, Atsumi"
370,Berserk: Ougon Jidai-hen III - Kourin,"Yukinari, Toa"
370,Berserk: Ougon Jidai-hen III - Kourin,"Sakurai, Takahiro"
370,Berserk: Ougon Jidai-hen III - Kourin,"Takeuchi, Ayako"
370,Berserk: Ougon Jidai-hen III - Kourin,"Iwanaga, Hiroaki"
378,Ookami to Koushinryou,"Koshimizu, Ami"
378,Ookami to Koushinryou,"Fukuyama, Jun"
376,Major S1,"Kumai, Motoko"
376,Major S1,"Kugimiya, Rie"
376,Major S1,"Sasajima, Kaoru"
376,Major S1,"Sasamoto, Yuuko"
372,Fruits Basket 1st Season,"Iwami, Manaka"
372,Fruits Basket 1st Season,"Uchida, Yuuma"
372,Fruits Basket 1st Season,"Tomari, Asuna"
372,Fruits Basket 1st Season,"Shimazaki, Nobunaga"
377,Major S3,"Kusao, Takeshi"
377,Major S3,"Morikubo, Shoutarou"
377,Major S3,"Park, Romi"
377,Major S3,"Mori, Norihisa"
367,SKET Dance,"Yoshino, Hiroyuki"
367,SKET Dance,"Shiraishi, Ryouko"
367,SKET Dance,"Sugita, Tomokazu"
367,SKET Dance,"Kanada, Aki"
375,Magi: The Kingdom of Magic,"Ishihara, Kaori"
375,Magi: The Kingdom of Magic,"Tomatsu, Haruka"
375,Magi: The Kingdom of Magic,"Kaji, Yuuki"
375,Magi: The Kingdom of Magic,"Tamura, Mutsumi"
373,Kaguya-hime no Monogatari,"Asakura, Aki"
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Hisakawa, Aya"
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Onosaka, Masaya"
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Tange, Sakura"
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Kumai, Motoko"
371,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,"Huerta, Uraz"
379,Sasaki to Miyano,"Saitou, Souma"
379,Sasaki to Miyano,"Shirai, Yuusuke"
382,Make Heroine ga Oosugiru!,"Terasawa, Momoka"
382,Make Heroine ga Oosugiru!,"Umeda, Shuuichirou"
382,Make Heroine ga Oosugiru!,"Wakayama, Shion"
382,Make Heroine ga Oosugiru!,"Tono, Hikaru"
390,Bungou Stray Dogs 3rd Season,"Miyano, Mamoru"
390,Bungou Stray Dogs 3rd Season,"Uemura, Yuuto"
383,Meitantei Conan Movie 13: Shikkoku no Chaser,"Takayama, Minami"
383,Meitantei Conan Movie 13: Shikkoku no Chaser,"Yamaguchi, Kappei"
383,Meitantei Conan Movie 13: Shikkoku no Chaser,"Yamazaki, Wakana"
383,Meitantei Conan Movie 13: Shikkoku no Chaser,"Kamiya, Akira"
389,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Eguchi, Takuya"
389,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Touyama, Nao"
389,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Hayami, Saori"
394,InuYasha: Kanketsu-hen,"Yukino, Satsuki"
394,InuYasha: Kanketsu-hen,"Yamaguchi, Kappei"
394,InuYasha: Kanketsu-hen,"Tsujitani, Kouji"
394,InuYasha: Kanketsu-hen,"Saitou, Chiwa"
394,InuYasha: Kanketsu-hen,"Kuwashima, Houko"
381,Kuroko no Basket 2nd Season,"Ono, Yuuki"
381,Kuroko no Basket 2nd Season,"Kaiden, Michiko"
381,Kuroko no Basket 2nd Season,"Ono, Kensho"
388,xxxHOLiC◆Kei,"Nakai, Kazuya"
388,xxxHOLiC◆Kei,"Ohara, Sayaka"
388,xxxHOLiC◆Kei,"Itou, Shizuka"
388,xxxHOLiC◆Kei,"Fukuyama, Jun"
387,Senki Zesshou Symphogear XV,"Kayano, Ai"
387,Senki Zesshou Symphogear XV,"Hikasa, Youko"
387,Senki Zesshou Symphogear XV,"Mizuki, Nana"
387,Senki Zesshou Symphogear XV,"Yuuki, Aoi"
387,Senki Zesshou Symphogear XV,"Nanjou, Yoshino"
387,Senki Zesshou Symphogear XV,"Takagaki, Ayahi"
392,Great Pretender,"Kobayashi, Chiaki"
392,Great Pretender,"Fujiwara, Natsumi"
392,Great Pretender,"Sonozaki, Mie"
392,Great Pretender,"Buhr, Reba"
392,Great Pretender,"Suwabe, Junichi"
380,Kimetsu no Yaiba: Katanakaji no Sato-hen,"Hanae, Natsuki"
380,Kimetsu no Yaiba: Katanakaji no Sato-hen,"Kitou, Akari"
380,Kimetsu no Yaiba: Katanakaji no Sato-hen,"Hanazawa, Kana"
380,Kimetsu no Yaiba: Katanakaji no Sato-hen,"Kawanishi, Kengo"
393,Horimiya,"Tomatsu, Haruka"
393,Horimiya,"Uchiyama, Kouki"
395,Asobi Asobase,"Kino, Hina"
395,Asobi Asobase,"Kohara, Konomi"
395,Asobi Asobase,"Nagae, Rika"
399,Maison Ikkoku,"Futamata, Issei"
399,Maison Ikkoku,"Sakamoto, Chika"
399,Maison Ikkoku,"Aoki, Kazuyo"
399,Maison Ikkoku,"Shimamoto, Sumi"
399,Maison Ikkoku,"Mita, Yuuko"
399,Maison Ikkoku,"Chiba, Shigeru"
398,Hachimitsu to Clover II,"Kudou, Haruka"
398,Hachimitsu to Clover II,"Sugita, Tomokazu"
398,Hachimitsu to Clover II,"Ueda, Yuuji"
398,Hachimitsu to Clover II,"Kugimiya, Rie"
398,Hachimitsu to Clover II,"Kamiya, Hiroshi"
398,Hachimitsu to Clover II,"Nojima, Kenji"
398,Hachimitsu to Clover II,"Takahashi, Mikako"
397,Dragon Ball Z,"Tanaka, Mayumi"
397,Dragon Ball Z,"Furukawa, Toshio"
397,Dragon Ball Z,"Nozawa, Masako"
397,Dragon Ball Z,"Nozawa, Masako"
397,Dragon Ball Z,"Horikawa, Ryo"
396,Dragon Ball Super: Broly,"Shimada, Bin"
396,Dragon Ball Super: Broly,"Morishita, Yukiko"
396,Dragon Ball Super: Broly,"Nozawa, Masako"
396,Dragon Ball Super: Broly,"Horikawa, Ryo"
396,Dragon Ball Super: Broly,"Nozawa, Masako"
396,Dragon Ball Super: Broly,"Horikawa, Ryo"
401,One Piece Movie 14: Stampede,Cho
401,One Piece Movie 14: Stampede,"Isobe, Tsutomu"
401,One Piece Movie 14: Stampede,"Yao, Kazuki"
401,One Piece Movie 14: Stampede,"Tanaka, Mayumi"
401,One Piece Movie 14: Stampede,"Okamura, Akemi"
401,One Piece Movie 14: Stampede,"Yamaguchi, Yuriko"
401,One Piece Movie 14: Stampede,"Nakai, Kazuya"
401,One Piece Movie 14: Stampede,"Hirata, Hiroaki"
401,One Piece Movie 14: Stampede,"Ootani, Ikue"
401,One Piece Movie 14: Stampede,"Yamaguchi, Kappei"
403,Vanitas no Karte Part 2,"Ishikawa, Kaito"
403,Vanitas no Karte Part 2,"Hanae, Natsuki"
413,Haikyuu!! Movie 3: Sainou to Sense,"Murase, Ayumu"
413,Haikyuu!! Movie 3: Sainou to Sense,"Yoshino, Hiroyuki"
413,Haikyuu!! Movie 3: Sainou to Sense,"Ishikawa, Kaito"
413,Haikyuu!! Movie 3: Sainou to Sense,"Namikawa, Daisuke"
408,Yoru wa Mijikashi Arukeyo Otome,"Hanazawa, Kana"
408,Yoru wa Mijikashi Arukeyo Otome,"Hoshino, Gen"
412,Girls & Panzer Movie,"Nakagami, Ikumi"
412,Girls & Panzer Movie,"Ozaki, Mami"
412,Girls & Panzer Movie,"Fuchigami, Mai"
412,Girls & Panzer Movie,"Iguchi, Yuka"
412,Girls & Panzer Movie,"Taketatsu, Ayana"
412,Girls & Panzer Movie,"Kayano, Ai"
410,Chihayafuru,"Seto, Asami"
410,Chihayafuru,"Miyano, Mamoru"
410,Chihayafuru,"Takagaki, Ayahi"
410,Chihayafuru,"Hosoya, Yoshimasa"
410,Chihayafuru,"Terasaki, Yuka"
411,Fate/stay night: Unlimited Blade Works,"Suwabe, Junichi"
411,Fate/stay night: Unlimited Blade Works,"Sugiyama, Noriaki"
411,Fate/stay night: Unlimited Blade Works,"Noda, Junko"
411,Fate/stay night: Unlimited Blade Works,"Kawasumi, Ayako"
411,Fate/stay night: Unlimited Blade Works,"Ueda, Kana"
418,Nomad: Megalo Box 2,"Hosoya, Yoshimasa"
404,Stand By Me Doraemon 2,"Mizuta, Wasabi"
404,Stand By Me Doraemon 2,"Oohara, Megumi"
