source,target,type
19363,17,undirected
19363,53,undirected
19363,169,undirected
19363,1411,undirected
34798,64,undirected
34798,238,undirected
34798,737,undirected
34798,963,undirected
34798,1185,undirected
34798,1416,undirected
34798,1590,undirected
34798,1784,undirected
25835,64,undirected
25835,166,undirected
25835,415,undirected
25835,460,undirected
25835,777,undirected
25835,1386,undirected
25835,2135,undirected
48316,238,undirected
48316,1680,undirected
48316,1696,undirected
48316,1779,undirected
48316,2435,undirected
10534,55,undirected
10534,142,undirected
38691,1143,undirected
38691,1365,undirected
38691,2495,undirected
50594,17,undirected
50594,245,undirected
50594,1501,undirected
50594,1696,undirected
50594,1929,undirected
50594,1956,undirected
50594,2031,undirected
10087,17,undirected
10087,459,undirected
10087,701,undirected
10087,703,undirected
43,23,undirected
43,159,undirected
1735,16,undirected
1735,17,undirected
1735,50,undirected
1735,211,undirected
1735,717,undirected
1735,1365,undirected
10408,16,undirected
10408,17,undirected
10408,139,undirected
10408,148,undirected
10408,315,undirected
38826,245,undirected
38826,1501,undirected
38826,1696,undirected
38826,1929,undirected
38826,1956,undirected
38826,2031,undirected
23327,23,undirected
23327,464,undirected
23327,1233,undirected
1698,53,undirected
1698,79,undirected
1698,147,undirected
1698,159,undirected
1698,169,undirected
1698,306,undirected
1698,517,undirected
1698,757,undirected
1698,769,undirected
3002,29,undirected
3002,1003,undirected
513,382,undirected
513,2518,undirected
513,2981,undirected
2150,16,undirected
2150,92,undirected
2150,246,undirected
37520,1747,undirected
13125,17,undirected
13125,55,undirected
13125,144,undirected
2418,23,undirected
2418,109,undirected
2418,757,undirected
2418,1488,undirected
2418,3024,undirected
44940,55,undirected
32937,113,undirected
32937,323,undirected
32937,460,undirected
32937,737,undirected
32937,882,undirected
32937,1185,undirected
32937,1551,undirected
523,382,undirected
523,2518,undirected
49918,53,undirected
49918,76,undirected
49918,166,undirected
49918,757,undirected
49918,1143,undirected
49918,1365,undirected
31812,17,undirected
31812,33,undirected
31812,58,undirected
31812,143,undirected
31812,166,undirected
31812,1333,undirected
31812,1496,undirected
31812,1653,undirected
329,23,undirected
329,111,undirected
53111,79,undirected
53111,166,undirected
53111,415,undirected
53111,460,undirected
53111,1333,undirected
53111,1444,undirected
53111,1590,undirected
53111,1815,undirected
53111,2117,undirected
52578,53,undirected
52578,55,undirected
52578,166,undirected
52578,306,undirected
52578,1284,undirected
52578,1373,undirected
52578,2185,undirected
52578,2234,undirected
37989,306,undirected
37989,1113,undirected
37989,1211,undirected
37989,1261,undirected
37989,1345,undirected
37989,1365,undirected
37989,1501,undirected
37989,1747,undirected
10271,29,undirected
10271,1003,undirected
36990,104,undirected
1033,23,undirected
1033,33,undirected
1033,79,undirected
1033,113,undirected
1033,460,undirected
39247,104,undirected
39247,1500,undirected
39247,2147,undirected
51179,61,undirected
51179,245,undirected
51179,1143,undirected
51179,1333,undirected
51179,1416,undirected
51179,1444,undirected
51179,1696,undirected
51179,2289,undirected
37055,238,undirected
37055,737,undirected
37055,1696,undirected
37055,1916,undirected
25681,53,undirected
25681,64,undirected
28805,53,undirected
28805,76,undirected
28805,113,undirected
28805,245,undirected
