source,target,type
31592,1073282918,undirected
31592,-1314836734,undirected
31592,1885039534,undirected
31592,1030820429,undirected
31592,-863591576,undirected
31592,196785606,undirected
31658,-1607117304,undirected
31658,379223387,undirected
31658,1979609747,undirected
31658,626697398,undirected
31658,822574794,undirected
31658,1988301924,undirected
31658,-448409145,undirected
56894,-73746960,undirected
56894,401286265,undirected
56894,1274140546,undirected
56894,-403216168,undirected
56894,238181868,undirected
56894,238908095,undirected
56894,2127259254,undirected
16067,-1509776773,undirected
16067,-447861207,undirected
16067,1352416850,undirected
16067,-1991091409,undirected
16067,-640353766,undirected
16067,1110055572,undirected
16067,640546987,undirected
16067,-1286894040,undirected
740,-1442401654,undirected
740,616478732,undirected
740,995393773,undirected
740,-882569063,undirected
740,-54269680,undirected
740,1127903270,undirected
740,237323193,undirected
740,995393773,undirected
33970,397539484,undirected
33970,-167127464,undirected
33970,-1395879082,undirected
33970,1218355603,undirected
33970,-1509776773,undirected
9989,-754135827,undirected
9989,156851121,undirected
9989,-1377275154,undirected
9989,-1509776773,undirected
9989,-45397545,undirected
9989,851137066,undirected
9989,-25089305,undirected
9989,-309420403,undirected
9989,806766546,undirected
54714,49295858,undirected
54714,851137066,undirected
54714,-125290934,undirected
54714,1393296496,undirected
54714,-1504550927,undirected
54714,-71469192,undirected
55310,-1991999037,undirected
55310,1218405200,undirected
55310,-308059763,undirected
55310,1634260262,undirected
40776,131305960,undirected
40776,-1991091409,undirected
35557,-817925082,undirected
28223,-710921092,undirected
28223,851137066,undirected
28223,-839212374,undirected
16662,-717400613,undirected
16662,-1995928161,undirected
16662,1486121349,undirected
16662,-954108178,undirected
39587,1735354274,undirected
39587,-437332008,undirected
80,201482628,undirected
80,616478732,undirected
2921,1087682071,undirected
2921,-1968383504,undirected
2921,975710792,undirected
17389,-469146262,undirected
17389,1383645770,undirected
17389,-214433871,undirected
17389,-1563969087,undirected
17389,-1214937427,undirected
17389,1004488410,undirected
17389,-1837187259,undirected
21419,386289534,undirected
21419,1963706696,undirected
21419,343658600,undirected
21419,-553753519,undirected
5630,-25089305,undirected
5630,626697398,undirected
543,1043786278,undirected
37870,-696618789,undirected
37870,2032590231,undirected
37870,887923046,undirected
37870,1007522962,undirected
37870,347726413,undirected
37870,-216125258,undirected
37870,-901458949,undirected
37870,-1287481046,undirected
37870,1440967065,undirected
37870,2040804,undirected
37870,-1993972219,undirected
37870,-143468227,undirected
37870,190968191,undirected
14813,174304068,undirected
14813,1505232370,undirected
14813,-25089305,undirected
49828,-300579669,undirected
49828,2383917,undirected
24921,966601512,undirected
24921,-1395879082,undirected
5300,810261924,undirected
5300,-685928185,undirected
5300,-1607117304,undirected
5300,1982855072,undirected
15,-267381020,undirected
15,-1282838201,undirected
15,-309420403,undirected
15,-867052331,undirected
15,2020596202,undirected
15,1963706696,undirected
38993,-2117075954,undirected
38993,1735354274,undirected
54650,-1715777038,undirected
54650,1800568137,undirected
54650,1036874730,undirected
54650,369471873,undirected
54650,-56899984,undirected
54650,-25089305,undirected
54650,-830909453,undirected
54650,248053542,undirected
54650,149067411,undirected
54650,-1509776773,undirected
54650,-2015924005,undirected
54650,721749715,undirected
54650,-403216168,undirected
54650,389328304,undirected
54650,800393984,undirected
54650,-1176044233,undirected
54650,131305960,undirected
19703,-469146262,undirected
19703,-448409145,undirected
1535,1963706696,undirected
1535,-490648982,undirected
1535,314006290,undirected
44940,1014204324,undirected
44940,-867359006,undirected
44940,-911763424,undirected
44940,-1305352783,undirected
44940,-2117075954,undirected
11577,-1816357557,undirected
11577,314006290,undirected
16664,263658627,undirected
16,887923046,undirected
16,434453139,undirected
16,1799404279,undirected
16,-1607117304,undirected
16,203345567,undirected
16,-725035582,undirected
8142,-946536716,undirected
38201,1988301924,undirected
38201,-309420403,undirected
38201,1004488410,undirected
38201,-1607117304,undirected
38201,-911763424,undirected
38201,-45397545,undirected
875,188620718,undirected
875,-1835524463,undirected
42429,1938860046,undirected
42429,1218355603,undirected
3782,-448409145,undirected
3782,800393984,undirected
38003,314006290,undirected
38003,-73528935,undirected
36946,-49890706,undirected
36946,84615482,undirected
36946,238181868,undirected
36946,2127259254,undirected
36946,238181868,undirected
36946,2127259254,undirected
25517,1963706696,undirected
25517,159268026,undirected
479,-492332476,undirected
479,33397831,undirected
479,-1187308571,undirected
479,1963706696,undirected
479,394478779,undirected
479,2113802366,undirected
479,811681975,undirected
40911,-1271727079,undirected
40911,1910902943,undirected
40911,409474874,undirected
40911,1218405200,undirected
40911,-240687688,undirected
40911,1505232370,undirected
1470,-938010818,undirected
1470,617611648,undirected
